"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
26 Sep 2001 10:07:35.94,97.531,-44.192,625.534787
26 Sep 2001 10:07:55.01,113.840,-42.000,655.943186
26 Sep 2001 16:12:09.38,12.248,-42.000,655.943184
26 Sep 2001 16:13:09.00,65.472,-75.634,434.705187
26 Sep 2001 16:14:09.00,166.609,-47.213,589.787272
26 Sep 2001 16:14:21.31,169.159,-42.000,655.943182
26 Sep 2001 17:44:54.34,293.954,-42.000,655.943185
26 Sep 2001 17:45:29.48,263.053,-43.956,628.614404
26 Sep 2001 17:45:47.55,247.736,-42.000,655.943184

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 00:19:17.24,345.731,-42.000,655.986205
20 Sep 2001 00:20:17.00,289.099,-73.891,438.610409
20 Sep 2001 00:21:17.00,195.545,-46.611,596.442563
20 Sep 2001 00:21:28.13,192.901,-42.000,655.986204
20 Sep 2001 01:51:52.65,58.617,-42.000,655.986208
20 Sep 2001 01:52:52.00,112.278,-43.729,631.651710
20 Sep 2001 01:53:01.55,119.720,-42.000,655.986209
20 Sep 2001 15:52:31.43,42.590,-42.000,655.986204
20 Sep 2001 15:53:31.00,102.239,-52.311,541.946451
20 Sep 2001 15:54:12.36,139.040,-42.000,655.986206
20 Sep 2001 17:24:19.83,337.510,-42.000,655.986205
20 Sep 2001 17:25:19.00,276.492,-65.529,464.901468
20 Sep 2001 17:26:19.00,205.419,-43.684,632.250674
20 Sep 2001 17:26:23.58,203.788,-42.000,655.986205
20 Sep 2001 23:30:23.02,313.901,-42.000,655.986205
20 Sep 2001 23:31:23.00,254.400,-50.071,561.317439
20 Sep 2001 23:31:57.21,224.977,-42.000,655.986209
21 Sep 2001 01:01:54.91,13.524,-42.000,655.986208
21 Sep 2001 01:02:54.00,68.508,-73.028,440.720360
21 Sep 2001 01:03:54.00,162.006,-46.837,593.930834
21 Sep 2001 01:04:05.69,164.943,-42.000,655.986208
21 Sep 2001 16:34:57.57,9.153,-42.000,655.986209
21 Sep 2001 16:35:57.00,54.223,-78.108,430.072126
21 Sep 2001 16:36:57.00,170.167,-48.095,580.526463
21 Sep 2001 16:37:11.01,172.351,-42.000,655.986207
21 Sep 2001 18:07:10.70,308.682,-42.000,655.986207
21 Sep 2001 18:08:10.00,251.945,-46.956,592.620163
21 Sep 2001 18:08:33.74,232.391,-42.000,655.986204
22 Sep 2001 00:12:37.50,341.539,-42.000,655.986204
22 Sep 2001 00:13:37.00,281.910,-70.119,448.805509
22 Sep 2001 00:14:37.00,199.689,-45.430,610.133190
22 Sep 2001 00:14:45.68,197.122,-42.000,655.986206
22 Sep 2001 01:45:01.14,49.965,-42.000,655.986209
22 Sep 2001 01:46:01.00,107.182,-47.447,587.305087
22 Sep 2001 01:46:26.76,128.386,-42.000,655.986204
22 Sep 2001 15:45:54.29,49.556,-42.000,655.986208
22 Sep 2001 15:46:54.00,107.298,-48.488,576.532316
22 Sep 2001 15:47:23.61,132.089,-42.000,655.986205
22 Sep 2001 17:17:37.10,341.739,-42.000,655.986205
22 Sep 2001 17:18:37.00,280.474,-69.191,451.713791
22 Sep 2001 17:19:37.00,201.879,-44.888,616.755513
